domain,name,iteration,size,span,ns,us
mono,ManagedVirtual,2,40,00:00:00.0000003,7.5,0.0075
mono,DllImportDirect,2,40,00:00:00.0000088,220,0.22
mono,DllImportCustomMarshaller,2,40,00:00:00.0000180,450,0.45
mono,ManagedStatic,2,80,00:00:00.0000003,3.75,0.00375
mono,ManagedVirtual,2,80,00:00:00.0000004,5,0.005
mono,DllImportDirect,2,80,00:00:00.0000175,218.75,0.21875
mono,DllImportCustomMarshaller,2,80,00:00:00.0000356,445,0.445
mono,ManagedStatic,2,160,00:00:00.0000004,2.5,0.0025
mono,ManagedVirtual,2,160,00:00:00.0000008,5,0.005
mono,DllImportDirect,2,160,00:00:00.0000345,215.625,0.215625
mono,DllImportCustomMarshaller,2,160,00:00:00.0000706,441.25,0.44125
mono,ManagedStatic,2,320,00:00:00.0000008,2.5,0.0025
mono,ManagedVirtual,2,320,00:00:00.0000015,4.6875,0.0046875
mono,DllImportDirect,2,320,00:00:00.0000687,214.6875,0.2146875
mono,DllImportCustomMarshaller,2,320,00:00:00.0001407,439.6875,0.4396875
mono,ManagedStatic,2,640,00:00:00.0000016,2.5,0.0025
mono,ManagedVirtual,2,640,00:00:00.0000030,4.6875,0.0046875
mono,DllImportDirect,2,640,00:00:00.0001378,215.3125,0.2153125
mono,DllImportCustomMarshaller,2,640,00:00:00.0002821,440.78125,0.44078125
mono,ManagedStatic,2,1280,00:00:00.0000031,2.421875,0.002421875
mono,ManagedVirtual,2,1280,00:00:00.0000058,4.53125,0.00453125
mono,DllImportDirect,2,1280,00:00:00.0002752,215,0.215
mono,DllImportCustomMarshaller,2,1280,00:00:00.0005648,441.25,0.44125
mono,ManagedStatic,2,2560,00:00:00.0000061,2.3828125,0.0023828125
mono,ManagedVirtual,2,2560,00:00:00.0000116,4.53125,0.00453125
mono,DllImportDirect,2,2560,00:00:00.0005828,227.65625,0.22765625
mono,DllImportCustomMarshaller,2,2560,00:00:00.0011159,826.5234375,0.8265234375
mono,ManagedStatic,2,5120,00:00:00.0000123,2.40234375,0.00240234375
mono,ManagedVirtual,2,5120,00:00:00.0000231,4.51171875,0.00451171875
mono,DllImportDirect,2,5120,00:00:00.0010995,410.05859375,0.41005859375
mono,DllImportCustomMarshaller,2,5120,00:00:00.0022427,828.65234375,0.82865234375
mono,ManagedStatic,2,10240,00:00:00.0000244,2.3828125,0.0023828125
mono,ManagedVirtual,2,10240,00:00:00.0000460,4.4921875,0.0044921875
mono,DllImportDirect,2,10240,00:00:00.0021980,409.9609375,0.4099609375
mono,DllImportCustomMarshaller,2,10240,00:00:00.0044512,825.3125,0.8253125
mono,ManagedStatic,2,20480,00:00:00.0000487,2.3779296875,0.0023779296875
mono,ManagedVirtual,2,20480,00:00:00.0000980,4.78515625,0.00478515625
mono,DllImportDirect,2,20480,00:00:00.0044715,413.6474609375,0.4136474609375
mono,DllImportCustomMarshaller,2,20480,00:00:00.0089636,828.30078125,0.82830078125
mono,ManagedStatic,2,40960,00:00:00.0000973,2.37548828125,0.00237548828125
mono,ManagedVirtual,2,40960,00:00:00.0001730,4.2236328125,0.0042236328125
mono,DllImportDirect,2,40960,00:00:00.0088412,411.162109375,0.411162109375
mono,DllImportCustomMarshaller,2,40960,00:00:00.0177612,848.662109375,0.848662109375
mono,ManagedStatic,2,81920,00:00:00.0001946,2.37548828125,0.00237548828125
mono,ManagedVirtual,2,81920,00:00:00.0003674,4.48486328125,0.00448486328125
mono,DllImportDirect,2,81920,00:00:00.0175743,422.049560546875,0.422049560546875
mono,DllImportCustomMarshaller,2,81920,00:00:00.0353731,859.046630859375,0.859046630859375
mono,ManagedStatic,2,163840,00:00:00.0003891,2.3748779296875,0.0023748779296875
mono,ManagedVirtual,2,163840,00:00:00.0007348,4.48486328125,0.00448486328125
mono,DllImportDirect,2,163840,00:00:00.0351921,428.418579101563,0.428418579101563
mono,DllImportCustomMarshaller,2,163840,00:00:00.0726746,883.023681640625,0.883023681640625
mono,ManagedStatic,2,327680,00:00:00.0007813,2.38433837890625,0.00238433837890625
mono,ManagedVirtual,2,327680,00:00:00.0014019,7.33001708984375,0.00733001708984375
mono,DllImportDirect,2,327680,00:00:00.0699646,424.086303710938,0.424086303710938
mono,DllImportCustomMarshaller,2,327680,00:00:00.1415193,862.180480957031,0.862180480957031
mono,ManagedStatic,2,655360,00:00:00.0015561,3.90029907226563,0.00390029907226563
mono,ManagedVirtual,2,655360,00:00:00.0029413,7.53982543945313,0.00753982543945312
mono,DllImportDirect,2,655360,00:00:00.1406469,428.233184814453,0.428233184814453
mono,DllImportCustomMarshaller,2,655360,00:00:00.2825366,861.414489746094,0.861414489746094
mono,ManagedStatic,2,1310720,00:00:00.0031119,4.66300964355469,0.00466300964355469
mono,ManagedVirtual,2,1310720,00:00:00.0058441,8.27339172363281,0.00827339172363281
mono,DllImportDirect,2,1310720,00:00:00.2819270,429.479217529297,0.429479217529297
mono,DllImportCustomMarshaller,2,1310720,00:00:00.5668625,864.305496215821,0.864305496215821
mono,ManagedStatic,2,2621440,00:00:00.0062271,4.66426849365234,0.00466426849365234
mono,ManagedVirtual,2,2621440,00:00:00.0115257,8.59287261962891,0.00859287261962891
mono,DllImportDirect,2,2621440,00:00:00.5633043,429.650993347168,0.429650993347168
mono,DllImportCustomMarshaller,2,2621440,00:00:01.1348635,865.502738952637,0.865502738952637
